Adams CO.,GHCND:USC00226177,
Alcorn CO.,GHCND:USC00221962,
Amite CO.,GHCND:USC00225070,
Attala CO.,GHCND:USC00224776,
Benton CO.,GHCND:USC00220290,
Bolivar CO.,GHCND:USC00221738,
Calhoun CO.,GHCND:USC00221314,
Carroll CO.,GHCND:USW00013978,
Chickasaw CO.,GHCND:USC00224265,
Choctaw CO.,GHCND:USC00220039,GHCND:US1MSCT0002 
Claiborne CO.,GHCND:USC00227132,
Clarke CO.,GHCND:USC00227252,GHCND:USC00226638 
Clay CO.,GHCND:USC00228792,GHCND:US1MSCY0001 
Coahoma CO.,GHCND:USC00221707,
Copiah CO.,GHCND:USC00222094,
Covington CO.,GHCND:USC00221852,GHCND:USC00226642 
DeSoto CO.,GHCND:USC00223975,
Forrest CO.,GHCND:USC00223887,
Franklin CO.,GHCND:USC00225704,
George CO.,GHCND:USC00224966,
Greene CO.,GHCND:USC00224966,
Grenada CO.,GHCND:USC00223645,GHCND:US1MSGD0003 
Hancock CO.,GHCND:USC00229426,
Harrison CO.,GHCND:USC00220792,
Hinds CO.,GHCND:USC00226476,
Holmes CO.,GHCND:USC00224776,
Humphreys CO.,GHCND:USC00220660,
Issaquena CO.,GHCND:USC00227560,
Itawamba CO.,GHCND:USC00223208,GHCND:US1MSIT0001 
Jackson CO.,GHCND:USC00226718,GHCND:USW00053858 
Jasper CO.,GHCND:USC00220523,GHCND:US1MSSM0003 
Jefferson CO.,GHCND:USC00229072,
Jefferson Davis CO.,GHCND:USC00227172,
Jones CO.,GHCND:USC00224939,
Kemper CO.,GHCND:USC00224702,GHCND:US1MSKM0001 
Lafayette CO.,GHCND:USC00229079,
Lamar CO.,GHCND:USC00227220,
Lauderdale CO.,GHCND:USW00013865,
Lawrence CO.,GHCND:USC00225987,
Leake CO.,GHCND:USC00221489,
Lee CO.,GHCND:USC00229006,
Leflore CO.,GHCND:USW00013978,
Lincoln CO.,GHCND:USC00221094,
Lowndes CO.,GHCND:USC00221880,
Madison CO.,GHCND:USC00221389,
Marion CO.,GHCND:USC00221865,
Marshall CO.,GHCND:USC00224173,GHCND:USC00220290 
Monroe CO.,GHCND:USC00220021,
Montgomery CO.,GHCND:USC00229743,
Neshoba CO.,GHCND:USC00226894,
Newton CO.,GHCND:USC00226308,
Noxubee CO.,GHCND:USC00225361,
Oktibbeha CO.,GHCND:USC00228374,
Panola CO.,GHCND:USC00220488,GHCND:US1MSPN0001 
Pearl River CO.,GHCND:USC00227128,
Perry CO.,GHCND:USC00220585,
Pike CO.,GHCND:USW00093919,
Pontotoc CO.,GHCND:USC00227106,
Prentiss CO.,GHCND:USC00220955,GHCND:USC00221962 
Quitman CO.,GHCND:USC00224869,
Rankin CO.,GHCND:USW00003940,
Scott CO.,GHCND:USC00223107,GHCND:USR0000MBIE 
Sharkey CO.,GHCND:USC00227560,GHCND:USC00220660 
Simpson CO.,GHCND:USC00222385,
Smith CO.,GHCND:USC00229597,GHCND:USC00227276 
Stone CO.,GHCND:USC00229639,
Sunflower CO.,GHCND:USC00226009,
Tallahatchie CO.,GHCND:USC00221606,GHCND:US1MSTL0001 
Tate CO.,GHCND:USC00227921,
Tippah CO.,GHCND:USC00227467,GHCND:US1MSTP0002 
Tishomingo CO.,GHCND:USC00224455,GHCND:US1ALCT0012 
Tunica CO.,GHCND:USC00228998,
Union CO.,GHCND:USC00226256,GHCND:US1MSUN0001 
Walthall CO.,GHCND:USW00093919,
Warren CO.,GHCND:USC00229216,GHCND:US1MSWR0002 
Washington CO.,GHCND:USC00228445,
Wayne CO.,GHCND:USC00229439,
Webster CO.,GHCND:USC00222896,GHCND:US1MSWB0005 
Wilkinson CO.,GHCND:USC00229793,GHCND:US1LAWF0005 
Winston CO.,GHCND:USC00225247,
Yalobusha CO.,GHCND:USC00229400,
Yazoo CO.,GHCND:USC00229860,
